parent_sku,product,full_product_name,color,sizes,variation_skus,copy_only_no_extension,website_filename,product_id
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Abu Tua,,7020-abutua,nalaabutua,nalaabutua.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Ashgrey,,7020-abumuda,nalaashgrey,nalaashgrey.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Maron,,7020-maron,nalamaroon,nalamaroon.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Coklat Tua,,7020-coktu,nalacoklattua,nalacoklattua.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Lime,,7020-lime,nalalime,nalalime.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Hijau,,7020-hijau,nalahijau,nalahijau.jpg,46609020149
7020,Nala Ruched V-Neck Basic Tee,Nala Ruched V-Neck Basic Tee Logo ALO Bordir Wanita Korean Style Premium Rayon Spandex Fit Body Casual,Biru,,7020-biru,nalabiru,nalabiru.jpg,46609020149
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Salem,,7023-salem,siennasalem,siennasalem.jpg,46313113577
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Abu Tua,,7023-abu,siennaabutua,siennaabutua.jpg,46313113577
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Hitam,,7023-hitam,siennahitam,siennahitam.jpg,46313113577
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Maron,,7023-maron,siennamaroon,siennamaroon.jpg,46313113577
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Cokelat,,7023-coklat,siennacoklat,siennacoklat.jpg,46313113577
7023,Sienna Kaos Wanita Slim Fit,Sienna Kaos Wanita Slim Fit Serut Samping Korean Style Premium Rayon Spandex,Khaki,,7023-khaki,siennakhaki,siennakhaki.jpg,46313113577
A33,Byka Button Knit Collar Cardigan,Byka Button Knit Collar Cardigan Slim Fit Wanita Korean Style Soft Knit Premium Long Sleeve Fit Body Casual,Dark Choco,,A33-coktu,bykadarkchoco,bykadarkchoco.jpg,45801033892
A33,Byka Button Knit Collar Cardigan,Byka Button Knit Collar Cardigan Slim Fit Wanita Korean Style Soft Knit Premium Long Sleeve Fit Body Casual,Maroon,,A33-marun,bykamaroon,bykamaroon.jpg,45801033892
A33,Byka Button Knit Collar Cardigan,Byka Button Knit Collar Cardigan Slim Fit Wanita Korean Style Soft Knit Premium Long Sleeve Fit Body Casual,Putih,,A33-putih,bykaputih,bykaputih.jpg,45801033892
A33,Byka Button Knit Collar Cardigan,Byka Button Knit Collar Cardigan Slim Fit Wanita Korean Style Soft Knit Premium Long Sleeve Fit Body Casual,Hitam,,A33-hitam,bykahitam,bykahitam.jpg,45801033892
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Taro,,A36-taro,liorataro,liorataro.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Dark Choco,,A36-coktua,lioradarkchoco,lioradarkchoco.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Moss Green,,A36-hijau,lioramossgreen,lioramossgreen.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Hitam,,A36-hitam,liorahitam,liorahitam.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Misty,,A36-abu,lioramisty,lioramisty.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Soft Brown,,A36-coksu,liorasoftbrown,liorasoftbrown.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Misty Blue,,A36-biru,lioramistyblue,lioramistyblue.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Putih,,A36-putih,lioraputih,lioraputih.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Maron,,A36-marun,lioramaroon,lioramaroon.jpg,44422238362
A36,Liora Ruched Button Knit Cardigan,Liora Ruched Button Knit Cardigan Wanita Korean Style Soft Knit Premium Round Neck Fit Body Casual,Dusty Pink,,A36-pink,liorapink,liorapink.jpg,44422238362
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Soft Brown,,A12-coksu,carolsoftbrown,carolsoftbrown.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Dusty Pink,,A12-pink,carolpink,carolpink.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Misty Blue,,A12-biru,carolmistyblue,carolmistyblue.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Moss Green,,A12-hijau,carolmossgreen,carolmossgreen.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Coklat,,A12-coktu,carolcoklat,carolcoklat.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Taro,,A12-taro,caroltaro,caroltaro.jpg,44417441344
A12,Carol Twist Ring Long Sleeve,Carol Twist Ring Long Sleeve Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Misty,,A12-abu,carolmisty,carolmisty.jpg,44417441344
A26,Chloe Foldover Off Shoulder Knit,Chloe Foldover Off Shoulder Knit Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Misty,,A26-abu,chloemisty,chloemisty.jpg,44417436406
A26,Chloe Foldover Off Shoulder Knit,Chloe Foldover Off Shoulder Knit Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Taro,,A26-taro,chloetaro,chloetaro.jpg,44417436406
A26,Chloe Foldover Off Shoulder Knit,Chloe Foldover Off Shoulder Knit Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Misty Blue,,A26-biru,chloemistyblue,chloemistyblue.jpg,44417436406
A26,Chloe Foldover Off Shoulder Knit,Chloe Foldover Off Shoulder Knit Top Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A26-hitam,chloehitam,chloehitam.jpg,44417436406
